"Title","Subtitle","Review Score","Ratings","Author","Age","ABSR","# Of Pages","KWT","Price","DY Sales","MO Sales","Sales Page"
"Wine Tasting Journal (Diary, Notebook)","",4.6,784,"doug paulding",2996,104429,192,"No","$ 8.36","$ 21","$ 167","https://www.amazon.com/Wine-Tasting-Journal-Diary-Notebook/dp/1441326367"
"Wine Journal","",4.6,433,"papeterie bleu",2664,553128,108,"No","$ 6.99","$ 2","$ 7","https://www.amazon.com/Wine-Journal-Notebook-Diary-Lovers/dp/1640014888"
"Wine Tasting Journal","a wine notebook to record   remember the details of the wines you’ve tasted","-","-","penelope vaughn",1543,2820628,100,"No","$ 4.99","$ 0","$ 5","https://www.amazon.com/Wine-Tasting-Journal-Notebook-Remember/dp/B09QJW678V"
"CardNoter Wine Tasting Notebook/Journal - Document 30 Different Wine Tasting","","-","-"," ","-",807293,30,"No","$ 9.99","$ 2","$ 10","https://www.amazon.com/CardNoter-Wine-Tasting-Notebook-Journal/dp/B095VM4ZPH"
"Spirits Tasting Journal","a logbook to rate  record, and remember spirits",4.6,67,"doug paulding",2270,168165,192,"No","$ 8.99","$ 18","$ 153","https://www.amazon.com/Spirits-Tasting-Journal-Logbook-Remember/dp/1441332650"
"Wine Tasting Journal – Detailed Wine Tasting Notes Book (100","","-","-","gogo press",90,"-",100,"No","$ 12.99","-","-","https://www.amazon.com/Wine-Tasting-Journal-Detailed-Notes/dp/B0GF1TB5Z5"
"Wine Tasting Journal","favorite wines",4.7,5,"mary ringel",1472,4232359,102,"No","$ 4.5","$ 0","$ 5","https://www.amazon.com/Wine-Tasting-Journal-Favorite-Wines/dp/B09WL7V72B"
"Wine Tasting Journal – Sip & Savor Notes Tracker","record wine details  tastings, pairings, ratings",5,1,"moments uncorked",237,5987426,68,"No","$ 15.99","$ 0","$ 16","https://www.amazon.com/Wine-Tasting-Journal-Tastings-Pairings/dp/B0FM4HHVC9"
"Wine Log Book","a tasting journal for oenophiles | document wine's appearance  nose, taste, finish and other notes   details | wine tracker notebook for beginner to advanced tasters",5,1,"minimalist paper garden",1951,2809803,116,"No","$ 9.39","$ 1","$ 9","https://www.amazon.com/Wine-Log-Book-Oenophiles-Appearance/dp/B08QBRJFLL"
"Wine Tasting Journal | 80 Log Sheets","wine tasting journal | 80 wine tasting score sheets | record wine details  flavors   aromas | easy to-carry (85 ... inches) | gift for wine lovers | score keeper",3,1,"wine tasting notebooks",2522,13189428,85,"No","$ 6.99","$ 0","$ 7","https://www.amazon.com/Tasting-Journal-Sheets-Easy-Carry/dp/1097429857"
