"Title","Subtitle","Review Score","Ratings","Author","Age","ABSR","# Of Pages","KWT","Price","DY Sales","MO Sales","Sales Page"
"Wine Tasting Journal","wine lovers logbook","-","-","luca fornari",107,960023,108,"No","$ 8.95","$ 1","$ 9","https://www.amazon.com/Wine-Tasting-Journal-Lovers-Logbook/dp/B0G8DVP99H"
"The Wine Tasting Journal","a guided practice   mock exam workbook",5,1,"the grape edit",352,4494160,215,"No","$ 19.99","$ 1","$ 20","https://www.amazon.com/Wine-Tasting-Journal-Practice-Workbook/dp/B0F5PVZS4N"
"Wine Tasting Journal","a guided journal  log book for wine lovers",4.6,3,"the discerning palate",1695,3523350,122,"No","$ 6.99","$ 0","$ 7","https://www.amazon.com/Wine-Tasting-Journal-Guided-Lovers/dp/B09CKL2TKG"
"Wine Tasting Journal (Diary, Notebook)","",4.6,784,"doug paulding",2996,104426,192,"No","$ 8.36","$ 21","$ 167","https://www.amazon.com/Wine-Tasting-Journal-Diary-Notebook/dp/1441326367"
"Wine Notes","a tasting companion notebook",4.5,14,"i should write that down press",1826,249803,102,"No","$ 7.95","$ 11","$ 103","https://www.amazon.com/Wine-Notes-Companion-Notebook-Minimalist/dp/B091WFG77T"
"Sommasté Wine Tasting Journal","a mindful guide to sensory discovery. guided logbook for tasting notes  food pairings, and aroma profiling.","-","-","laura mendelson",80,1656223,108,"No","$ 14.99","$ 1","$ 15","https://www.amazon.com/Sommast%C3%A9-Wine-Tasting-Journal-Discovery/dp/B0GH6CS6DN"
"Wine Journal","",4.6,433,"papeterie bleu",2664,553128,108,"No","$ 6.99","$ 2","$ 7","https://www.amazon.com/Wine-Journal-Notebook-Diary-Lovers/dp/1640014888"
"Temecula Wine Tasting Journal","a guided log book with prompted template pages to write in your wine tasting experiences","-","-","zallibah press",2443,3505941,121,"No","$ 7.86","$ 0","$ 8","https://www.amazon.com/Temecula-Wine-Tasting-Journal-Experiences/dp/1082772887"
"CardNoter Wine Tasting Notebook/Journal - Document 30 Different Wine Tasting","","-","-"," ","-",807293,30,"No","$ 9.99","$ 2","$ 10","https://www.amazon.com/CardNoter-Wine-Tasting-Notebook-Journal/dp/B095VM4ZPH"
"Napa Valley Wine Tasting Journal","a guided log book with prompted template pages to write ii all your wine tasting experiences",5,2,"zallibah press",2431,4401741,120,"No","$ 7.86","$ 0","$ 8","https://www.amazon.com/Napa-Valley-Wine-Tasting-Journal/dp/1088956386"
