"Title","Subtitle","Review Score","Ratings","Author","Age","ABSR","# Of Pages","KWT","Price","DY Sales","MO Sales","Sales Page"
"Wine Tasting Journal (Diary, Notebook)","",4.6,784,"doug paulding",2996,104426,192,"No","$ 8.36","$ 21","$ 167","https://www.amazon.com/Wine-Tasting-Journal-Diary-Notebook/dp/1441326367"
"Did I Like That Wine? A Journal For The Wines","a funny memory book for wine lovers  perfect wine gifts, and tasting adventures (the great wine word search)",5,2,"greg mincher",276,855125,150,"No","$ 24.95","$ 4","$ 25","https://www.amazon.com/Like-Journal-Wines-Forget-Tomorrow/dp/B0FGW6CWH7"
"Spirits Tasting Journal","a logbook to rate  record, and remember spirits",4.6,67,"doug paulding",2270,168165,192,"No","$ 8.99","$ 18","$ 153","https://www.amazon.com/Spirits-Tasting-Journal-Logbook-Remember/dp/1441332650"
"Wine Tasting Journal","","-","-","akilla morris",58,7306469,90,"No","$ 12","$ 0","$ 12","https://www.amazon.com/Wine-Tasting-Journal-Akilla-Morris/dp/B0GLP6VS2F"
"Wine Folly","magnum edition",4.8,8352,"madeline puckette",2747,5480,320,"No","$ 19.61","$ 394","$ 9,057","https://www.amazon.com/Wine-Folly-Magnum-Master-Guide/dp/0525533893"
"Wine Tasting Journal","academic wine tasting notes",5,4,"randi klassen",1034,4842565,100,"No","$ 21","$ 1","$ 21","https://www.amazon.com/Wine-Tasting-Journal-Academic-Notes/dp/B0C6W7C2GW"
"Vino Memoirs","wine journal for tasting notes and wine label collecting for the wine enthusiast",5,4,"rose m lumare",1569,4215980,154,"No","$ 14.99","$ 1","$ 15","https://www.amazon.com/Vino-Memoirs-Journal-collecting-enthusiast/dp/B09NP7MG38"
"Wine tasting journal","elegant wine tasting notebook   classic wine lover gift - 104 pages - 6x9 inches",5,1,"marlice press",1217,3567984,104,"No","$ 14.99","$ 1","$ 15","https://www.amazon.com/Wine-tasting-journal-Elegant-notebook/dp/B0BPGPV2HR"
"Wine Journal","wine tasting notebook   diary | elegant gold and black design",4.6,16,"amazing notebooks",1634,7030164,120,"No","$ 15.24","$ 0","$ 15","https://www.amazon.com/Wine-Journal-Tasting-Notebook-Elegant/dp/B09J7KS7VB"
"Wine Tasting Journal","wine tracker to review  rate   record 120 wines for wine lovers & collectors | hardcover","-","-","sophie lonsdale",713,5262561,135,"No","$ 16.95","$ 0","$ 17","https://www.amazon.com/Wine-Tasting-Journal-Collectors-Hardcover/dp/B0D2BSY418"
