"Title","Subtitle","Review Score","Ratings","Author","Age","ABSR","# Of Pages","KWT","Price","DY Sales","MO Sales","Sales Page"
"Wine Tasting Journal","the sommelier's archive","-","-","master planner",184,"-","-","No","$ 9.99","-","-","https://www.amazon.com/Wine-Tasting-Journal-Sommeliers-High-Fidelity/dp/B0FTX8PY4K"
"Champagne Tasting Journal","a logbook to document champagne tasting notes  reviews   ratings | specialized notebook for sparkling wine lovers, bubbly enthusiasts & sommeliers","-","-","gastronomic garden",492,993254,108,"No","$ 9.39","$ 1","$ 9","https://www.amazon.com/Champagne-Tasting-Journal-Specialized-Enthusiasts/dp/B0DPFSB6HZ"
"Sommelier Wine Tasting Journal","","-","-","myas concept",20,"-",135,"No","$ 16.99","-","-","https://www.amazon.com/Sommelier-Wine-Tasting-Journal-Concept/dp/B0GSMW642Q"
"Wine Tasting Journal","for sommeliers and wine enthusiasts  80 journal pages to record the wines you enjoy",1,1,"giulia frascaria",711,5095926,83,"No","$ 7.95","$ 0","$ 8","https://www.amazon.com/Wine-Tasting-Journal-Sommeliers-Enthusiasts/dp/B0D2KXQWFW"
"The Sommelier's Archive","professional tasting record   cellar log","-","-","paper logic",74,1180313,102,"No","$ 11.99","$ 2","$ 12","https://www.amazon.com/Sommeliers-Archive-Professional-Oenophiles-Collectors/dp/B0GHSDYCCV"
"Wine Tasting Journal (Diary, Notebook)","",4.6,784,"doug paulding",2996,104424,192,"No","$ 8.36","$ 21","$ 167","https://www.amazon.com/Wine-Tasting-Journal-Diary-Notebook/dp/1441326367"
"Wine Tasting Journal","sommelier in training","-","-","brenden dearman",1079,"-",72,"No","$ 24.99","-","-","https://www.amazon.com/Wine-Tasting-Journal-Sommelier-Training/dp/B0C2S2789Q"
"Sommelier Book, Professional Wine Note Tasting Journal","for sommelier and wine lovers (italian edition)","-","-","libro volante",1567,10186565,120,"No","$ 9.99","$ 0","$ 10","https://www.amazon.com/Sommelier-Book-Professional-Tasting-Journal/dp/B09NRJW9SB"
"Your Wine Journal","","-","-","ltl paper worx",1722,369589,102,"No","$ 4.19","$ 2","$ 29","https://www.amazon.com/Your-Wine-Journal-Paper-Worx/dp/B099LGDKJK"
"The Sommelier's Wine Tasting Journal","hardcover 6x9 notebook for wine tasting notes",5,1,"patience hathaway",1311,"-",203,"No","$ 22.99","-","-","https://www.amazon.com/Sommeliers-Wine-Tasting-Journal-Hardcover/dp/B0BCSGPDBZ"
