"category","sales1","sales10","largePublisher","kindleUnlimited"
"Books > Cookbooks, Food & Wine",505,84,"76%","N/A"
"Books > Cookbooks, Food & Wine > Beverages & Wine",66,18,"60%","N/A"
"Books > Cookbooks, Food & Wine > Beverages & Wine > Homebrewing, Distilling & Wine Making",27,9,"71%","N/A"
"Books > Cookbooks, Food & Wine > Beverages & Wine > Wine & Spirits",51,11,"78%","N/A"
"Books > Cookbooks, Food & Wine > Beverages & Wine > Wine & Spirits > Cellars",2,1,"15%","N/A"
"Books > Cookbooks, Food & Wine > Beverages & Wine > Wine & Spirits > Champagne",5,1,"70%","N/A"
"Books > Cookbooks, Food & Wine > Beverages & Wine > Wine & Spirits > Wine",27,7,"78%","N/A"
"Books > Cookbooks, Food & Wine > Beverages & Wine > Wine & Spirits > Wine Pairing",9,2,"63%","N/A"
"Books > Cookbooks, Food & Wine > Beverages & Wine > Wine & Spirits > Wine Tasting",27,4,"84%","N/A"
"Books > Cookbooks, Food & Wine > Entertaining & Holidays > Holidays",22,9,"65%","N/A"
"Books > Education & Teaching",512,105,"40%","N/A"
"Books > Education & Teaching > Schools & Teaching",395,74,"33%","N/A"
"Books > Travel",353,71,"66%","N/A"
